Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE
0.1,0.2,0.2,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1
0.1,0.2,0.166666,0.166666,0.166666,0,0.166666,0,0.166666,0.166666,0,0,0,0,0,0,0,0,0,0,0.1
